search_term,sp500no,Company Name,link
Agilent Technologies,1,"Agilent Technologies, Inc.",https://www.youtube.com/user/agilent
American Airlines Group,2,"American Airlines Group, Inc.",https://www.youtube.com/c/americanairlines
Advance Auto Parts,3,"Advance Auto Parts, Inc.",https://www.youtube.com/user/AdvanceAutoParts/
Apple,4,Apple Inc.,https://www.youtube.com/user/apple
AbbVie,5,"AbbVie, Inc.",https://www.youtube.com/user/AbbVie
AmerisourceBergen,6,AmerisourceBergen Corporation,https://www.youtube.com/channel/UCfMolPe62FMhbjnTcQ653mg
ABIOMED,7,"ABIOMED, Inc.",https://www.youtube.com/channel/UCpGodl5oHd6-S1dMY2RaNHg
Abbott Laboratories,8,Abbott Laboratories,https://www.youtube.com/c/abbott
Accenture,9,Accenture Plc Class A,https://www.youtube.com/c/accenture
Adobe,10,Adobe Inc.,https://www.youtube.com/user/AdobeSystems/Adobe
Analog Devices,11,"Analog Devices, Inc.",https://www.youtube.com/user/AnalogDevicesInc
Archer-Daniels-Midland Company,12,Archer-Daniels-Midland Company,https://www.youtube.com/user/adm
Automatic Data Processing,13,"Automatic Data Processing, Inc.",https://www.youtube.com/user/adp
Autodesk,14,"Autodesk, Inc.",https://www.youtube.com/user/Autodesk
Ameren,15,Ameren Corporation,https://www.youtube.com/user/AmerenCorp
American Electric Power,16,"American Electric Power Company, Inc.",http://www.youtube.com/user/AEPtv
AES,17,AES Corporation,https://www.youtube.com/user/TheAESCorporation
Aflac,18,Aflac Incorporated,https://www.youtube.com/user/aflac
American International Group,19,"American International Group, Inc.",https://www.youtube.com/user/AIG
Assurant,20,"Assurant, Inc.",https://www.youtube.com/channel/UCobLZspw7gM9gdbC9lMU97g
Arthur J. Gallagher,21,Arthur J. Gallagher & Co.,https://www.youtube.com/c/GallagherGlobal
Akamai Technologies,22,"Akamai Technologies, Inc.",https://www.youtube.com/user/akamaitechnologies
Albemarle Corporation,23,Albemarle Corporation,https://www.youtube.com/user/AlbemarleCorp
Align Technology,24,"Align Technology, Inc.",https://www.youtube.com/channel/UCmhosbz__iuecJ46n4OnfPw
Alaska Air Group,25,"Alaska Air Group, Inc.",https://www.youtube.com/user/AlaskaAirVids
Allstate,26,Allstate Corporation,https://www.youtube.com/c/Allstate
Allegion,27,Allegion PLC,https://www.youtube.com/channel/UCufDIevUmPZVZVByiKPF9Jw
Alexion Pharmaceuticals,28,"Alexion Pharmaceuticals, Inc.",https://www.youtube.com/channel/UClgBSounH8P9Lo22uaaZ0gw
Applied Materials,29,"Applied Materials, Inc.",http://www.youtube.com/user/appliedschannel
Amcor,30,Amcor PLC,https://www.youtube.com/user/AmcorPackaging
Advanced Micro Devices,31,"Advanced Micro Devices, Inc.",https://www.youtube.com/c/AMD
