search_term,sp500no,Company Name,link
Agilent Technologies,1,"Agilent Technologies, Inc.",https://www.youtube.com/user/agilent
American Airlines Group,2,"American Airlines Group, Inc.",https://www.youtube.com/c/americanairlines
Advance Auto Parts,3,"Advance Auto Parts, Inc.",https://www.youtube.com/user/AdvanceAutoParts/
Apple,4,Apple Inc.,https://www.youtube.com/user/apple
ABIOMED,7,"ABIOMED, Inc.",https://www.youtube.com/channel/UCpGodl5oHd6-S1dMY2RaNHg
Abbott Laboratories,8,Abbott Laboratories,https://www.youtube.com/c/abbott
Accenture,9,Accenture Plc Class A,https://www.youtube.com/c/accenture
Analog Devices,11,"Analog Devices, Inc.",https://www.youtube.com/user/AnalogDevicesInc
Archer-Daniels-Midland Company,12,Archer-Daniels-Midland Company,https://www.youtube.com/user/adm
Automatic Data Processing,13,"Automatic Data Processing, Inc.",https://www.youtube.com/user/adp
Autodesk,14,"Autodesk, Inc.",https://www.youtube.com/user/Autodesk
American Electric Power,16,"American Electric Power Company, Inc.",http://www.youtube.com/user/AEPtv
Aflac,18,Aflac Incorporated,https://www.youtube.com/user/aflac
American International Group,19,"American International Group, Inc.",https://www.youtube.com/user/AIG
Akamai Technologies,22,"Akamai Technologies, Inc.",https://www.youtube.com/user/akamaitechnologies
Alaska Air Group,25,"Alaska Air Group, Inc.",https://www.youtube.com/user/AlaskaAirVids
Allstate,26,Allstate Corporation,https://www.youtube.com/c/Allstate
Applied Materials,29,"Applied Materials, Inc.",http://www.youtube.com/user/appliedschannel
Amcor,30,Amcor PLC,https://www.youtube.com/user/AmcorPackaging
Advanced Micro Devices,31,"Advanced Micro Devices, Inc.",https://www.youtube.com/c/AMD
Amgen,33,Amgen Inc.,https://www.youtube.com/user/Amgen
Ameriprise Financial,34,"Ameriprise Financial, Inc.",https://www.youtube.com/user/Ameriprise
Amazon,36,"Amazon.com, Inc.",https://www.youtube.com/user/amazon
Arista Networks,37,"Arista Networks, Inc.",http://www.youtube.com/user/AristaNetworks
ANSYS,38,"ANSYS, Inc.",https://www.youtube.com/user/ansysinc
Aon,40,Aon Plc Class A,https://www.youtube.com/channel/UCub1kosRGgy4-ZO8ZH1DRWA
A. O. Smith Corporation,41,A. O. Smith Corporation,http://www.youtube.com/user/aosmithwaterproducts
Air Products & Chemicals,43,"Air Products and Chemicals, Inc.",http://www.youtube.com/user/airproducts
Aptive,45,Aptiv PLC,https://www.youtube.com/c/aptiv
Activision Blizzard,48,"Activision Blizzard, Inc.",https://www.youtube.com/channel/UCqXXBpycrF0q8Q2NHIu5Y3A
Broadcom,50,Broadcom Inc.,https://www.youtube.com/user/BroadcomCorporation
Avery Dennison,51,Avery Dennison Corporation,https://www.youtube.com/c/AveryDennisonVideo
